model_canonical,model_display,language,resource_tier,attack_prompts,successful_attacks,ASR_percent,ASR_CI95_low,ASR_CI95_high,outcome_source
mistral_7b_instruct_v0_2,Mistral-7B-Instruct-v0.2,English,anchor,80,1,1.25,0.22,6.75,recomputed exact-canary containment
mistral_7b_instruct_v0_2,Mistral-7B-Instruct-v0.2,French,high_resource,80,10,12.5,6.93,21.5,recomputed exact-canary containment
mistral_7b_instruct_v0_2,Mistral-7B-Instruct-v0.2,Arabic,medium_resource,80,6,7.5,3.48,15.41,recomputed exact-canary containment
mistral_7b_instruct_v0_2,Mistral-7B-Instruct-v0.2,Bengali,low_resource,80,6,7.5,3.48,15.41,recomputed exact-canary containment
mistral_7b_instruct_v0_2,Mistral-7B-Instruct-v0.2,Sindhi,very_low_resource,80,14,17.5,10.72,27.26,recomputed exact-canary containment
qwen2_5_3b_instruct,Qwen2.5-3B-Instruct,English,anchor,80,32,40.0,29.96,50.95,recomputed exact-canary containment
qwen2_5_3b_instruct,Qwen2.5-3B-Instruct,French,high_resource,80,35,43.75,33.41,54.66,recomputed exact-canary containment
qwen2_5_3b_instruct,Qwen2.5-3B-Instruct,Arabic,medium_resource,80,35,43.75,33.41,54.66,recomputed exact-canary containment
qwen2_5_3b_instruct,Qwen2.5-3B-Instruct,Bengali,low_resource,80,36,45.0,34.58,55.88,recomputed exact-canary containment
qwen2_5_3b_instruct,Qwen2.5-3B-Instruct,Sindhi,very_low_resource,80,37,46.25,35.75,57.1,recomputed exact-canary containment
zephyr_7b_beta,Zephyr-7B-Beta,English,anchor,80,54,67.5,56.64,76.76,recomputed exact-canary containment
zephyr_7b_beta,Zephyr-7B-Beta,French,high_resource,80,54,67.5,56.64,76.76,recomputed exact-canary containment
zephyr_7b_beta,Zephyr-7B-Beta,Arabic,medium_resource,80,71,88.75,79.98,93.97,recomputed exact-canary containment
zephyr_7b_beta,Zephyr-7B-Beta,Bengali,low_resource,80,58,72.5,61.86,81.08,recomputed exact-canary containment
zephyr_7b_beta,Zephyr-7B-Beta,Sindhi,very_low_resource,80,56,70.0,59.23,78.94,recomputed exact-canary containment
