model_canonical,language,prompt_type,mean_latency_seconds,median_latency_seconds,std_latency_seconds,n,interpretation_scope
llama2_7b_chat_failed_diagnostic,Arabic,attack,9.257,9.57,0.899,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
llama2_7b_chat_failed_diagnostic,Arabic,benign,6.419,6.508,0.329,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
llama2_7b_chat_failed_diagnostic,Bengali,attack,9.384,9.561,0.749,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
llama2_7b_chat_failed_diagnostic,Bengali,benign,6.449,6.526,0.361,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
llama2_7b_chat_failed_diagnostic,English,attack,9.42,9.547,0.411,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
llama2_7b_chat_failed_diagnostic,English,benign,6.443,6.539,0.372,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
llama2_7b_chat_failed_diagnostic,French,attack,9.559,9.663,0.422,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
llama2_7b_chat_failed_diagnostic,French,benign,6.436,6.549,0.459,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
llama2_7b_chat_failed_diagnostic,Sindhi,attack,9.233,9.583,0.956,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
llama2_7b_chat_failed_diagnostic,Sindhi,benign,6.512,6.549,0.386,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
mistral_7b_instruct_v0_2,Arabic,attack,5.3,5.174,2.357,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
mistral_7b_instruct_v0_2,Arabic,benign,6.861,7.339,1.131,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
mistral_7b_instruct_v0_2,Bengali,attack,5.176,4.644,2.747,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
mistral_7b_instruct_v0_2,Bengali,benign,7.081,7.841,1.383,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
mistral_7b_instruct_v0_2,English,attack,5.169,4.838,1.971,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
mistral_7b_instruct_v0_2,English,benign,6.651,7.286,1.116,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
mistral_7b_instruct_v0_2,French,attack,5.65,5.345,2.079,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
mistral_7b_instruct_v0_2,French,benign,6.545,7.262,1.156,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
mistral_7b_instruct_v0_2,Sindhi,attack,5.868,5.43,2.628,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
mistral_7b_instruct_v0_2,Sindhi,benign,6.843,7.6,1.343,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
qwen2_5_3b_instruct,Arabic,attack,2.742,2.548,1.225,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
qwen2_5_3b_instruct,Arabic,benign,7.454,8.238,1.432,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
qwen2_5_3b_instruct,Bengali,attack,2.884,2.176,2.149,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
qwen2_5_3b_instruct,Bengali,benign,6.107,6.288,2.022,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
qwen2_5_3b_instruct,English,attack,2.677,2.478,1.12,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
qwen2_5_3b_instruct,English,benign,6.96,7.626,1.771,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
qwen2_5_3b_instruct,French,attack,2.947,2.42,1.597,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
qwen2_5_3b_instruct,French,benign,7.312,8.256,1.454,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
qwen2_5_3b_instruct,Sindhi,attack,2.496,1.97,1.367,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
qwen2_5_3b_instruct,Sindhi,benign,6.331,6.392,1.802,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
zephyr_7b_beta,Arabic,attack,11.149,11.286,0.747,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
zephyr_7b_beta,Arabic,benign,7.622,7.714,0.37,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
zephyr_7b_beta,Bengali,attack,11.199,11.268,0.57,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
zephyr_7b_beta,Bengali,benign,7.482,7.685,0.612,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
zephyr_7b_beta,English,attack,10.687,11.256,1.246,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
zephyr_7b_beta,English,benign,7.652,7.758,0.409,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
zephyr_7b_beta,French,attack,10.813,11.248,1.158,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
zephyr_7b_beta,French,benign,7.669,7.696,0.233,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
zephyr_7b_beta,Sindhi,attack,11.116,11.214,0.462,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
zephyr_7b_beta,Sindhi,benign,7.533,7.7,0.542,80,descriptive only; model runs were historical and are not treated as controlled efficiency benchmarks
