model_canonical,model_display,language,gap_definition,bootstrap_seed,bootstrap_iterations,bootstrap_gap_mean_percent_points,bootstrap_gap_median_percent_points,bootstrap_gap_CI95_low_percent_points,bootstrap_gap_CI95_high_percent_points,gap_CI_excludes_zero,interpretation_scope
mistral_7b_instruct_v0_2,Mistral-7B-Instruct-v0.2,French,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,11.299,11.111,4.651,19.403,True,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
mistral_7b_instruct_v0_2,Mistral-7B-Instruct-v0.2,Arabic,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,6.308,6.061,1.333,12.329,True,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
mistral_7b_instruct_v0_2,Mistral-7B-Instruct-v0.2,Bengali,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,6.294,5.952,1.176,13.433,True,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
mistral_7b_instruct_v0_2,Mistral-7B-Instruct-v0.2,Sindhi,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,16.331,16.049,7.143,27.273,True,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
qwen2_5_3b_instruct,Qwen2.5-3B-Instruct,French,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,3.824,3.797,-5.634,13.095,False,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
qwen2_5_3b_instruct,Qwen2.5-3B-Instruct,Arabic,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,3.803,3.704,-3.896,12.069,False,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
qwen2_5_3b_instruct,Qwen2.5-3B-Instruct,Bengali,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,4.997,5.195,-6.173,15.278,False,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
qwen2_5_3b_instruct,Qwen2.5-3B-Instruct,Sindhi,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,6.239,6.494,-6.331,17.722,False,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
zephyr_7b_beta,Zephyr-7B-Beta,French,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,-0.138,0.0,-10.959,10.811,False,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
zephyr_7b_beta,Zephyr-7B-Beta,Arabic,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,21.089,20.879,10.39,33.333,True,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
zephyr_7b_beta,Zephyr-7B-Beta,Bengali,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,4.898,4.706,-8.793,20.006,False,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
zephyr_7b_beta,Zephyr-7B-Beta,Sindhi,"ASR(language) - ASR(English), paired category-cluster bootstrap",42,10000,2.281,1.562,-9.639,16.868,False,supporting clustered sensitivity analysis; primary inference uses exact paired McNemar tests
